oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N5,935LTF29,SE RE NCD 9.35% SR.V OP2,1056.1,1057,1057.1,1050.1,1050.1,166944.8,158,N, ,6,1199.8,1040.1
N,N5,935MOFSL29,SEC RE NCD 9.35% SR VI,1093,1065.2,1070.97,1057,1057.71,2727928.5,2569,N, ,34,1226.02,1000
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,982.55,991,991,988,988,463429,469,N, ,14,1029.59,896.25
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,991.01,992.9,992.9,990.5,991,3479660.68,3511,N, ,35,1001,940
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,1058,1036.84,1057.5,1036.84,1052.22,2346579.38,2227,N, ,30,1083,973.2
N,N6,805NMC34,NMC 8.05% 2034 SR STRPP F,124.99,124.99,124.99,121.5,121.5,3726.1,30,N, ,4,124.99,121.5
N,N6,846REC28,BOND 8.46% TAX FREE S2A,1150,1089.01,1148.8,1088,1148.8,1203582,1100,N, ,5,1299.9,1068.15
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,1084.22,1086.1,1087,1080,1080.62,3854475.71,3557,N, ,86,1298,1079
N,N6,880IREDA34,IREDA 8.80NCDTR I SR IIIB,1245,1243.89,1243.89,1196.08,1200,401910.61,335,N, ,3,1320,1196.08
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,1230,1226.61,1232.8,1226.25,1232.8,766529.15,624,N, ,9,1338,1208.6
N,N6,892NHPC33,8.92% SEC RED BOND S3B,1201,1244.95,1244.95,1200,1200,649477.1,524,N, ,5,1520,1194.15
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,6180,6190,6190,6163,6165,1227536,199,N, ,17,7390,6081
